iter	RMSE
0	14.14371235
1	13.27777983
2	12.4364644
3	11.7851489
4	11.10787334
5	10.51997586
6	10.00853306
7	9.531525534
8	9.172593919
9	8.748345618
10	8.392872614
11	8.051882507
12	7.763372201
13	7.496613099
14	7.236929632
15	7.06732619
16	6.882043745
17	6.696417035
18	6.533714492
19	6.403923259
20	6.269035344
21	6.152239144
22	6.054663071
23	5.966790659
24	5.884847159
25	5.793986839
26	5.721704027
27	5.662371285
28	5.598546812
29	5.539428149
30	5.497473873
31	5.448803665
32	5.41993673
33	5.390679771
34	5.357128433
35	5.330428666
36	5.298318749
37	5.264688512
38	5.239484918
39	5.219381639
40	5.199486869
41	5.186859501
42	5.163917402
43	5.143822481
44	5.124922558
45	5.111839864
46	5.094880974
47	5.075212065
48	5.063665652
49	5.049367615
50	5.037816644
51	5.023480479
52	5.010835147
53	4.998795194
54	4.980596253
55	4.965062214
56	4.950764569
57	4.938962263
58	4.930663839
59	4.925499534
60	4.910869086
61	4.902203929
62	4.895494841
63	4.88803387
64	4.876728956
65	4.870034142
66	4.858830827
67	4.851319932
68	4.84208269
69	4.833243521
70	4.825094683
71	4.812779714
72	4.802545943
73	4.796084699
74	4.780254095
75	4.76742861
76	4.758831859
77	4.747463663
78	4.736535439
79	4.722620893
80	4.719606623
81	4.715098919
82	4.706368245
83	4.700238072
84	4.688468476
85	4.686428357
86	4.674556435
87	4.664141714
88	4.652961603
89	4.641887194
90	4.636318295
91	4.631330482
92	4.613175063
93	4.600877701
94	4.587473201
95	4.577364535
96	4.563026746
97	4.55584873
98	4.543897275
99	4.53526526
