iter	Passed	Remaining
0	0	37
1	0	40
2	1	36
3	1	33
4	1	33
5	2	32
6	2	31
7	2	30
8	2	30
9	3	29
10	3	29
11	3	29
12	4	28
13	4	27
14	4	27
15	5	30
16	6	29
17	6	31
18	7	30
19	7	30
20	7	29
21	8	28
22	8	28
23	8	27
24	9	27
25	9	27
26	9	26
27	10	26
28	10	25
29	10	25
30	11	24
31	11	24
32	11	23
33	12	23
34	12	23
35	12	22
36	13	22
37	13	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	20
43	16	20
44	16	20
45	17	20
46	17	19
47	17	19
48	18	19
49	18	18
50	19	18
51	19	18
52	19	17
53	20	17
54	20	17
55	22	17
56	22	16
57	22	16
58	23	16
59	23	15
60	23	15
61	24	14
62	24	14
63	25	14
64	25	13
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	31	8
78	31	8
79	32	8
80	32	7
81	33	7
82	33	6
83	34	6
84	34	6
85	34	5
86	35	5
87	35	4
88	35	4
89	36	4
90	36	3
91	37	3
92	37	2
93	38	2
94	38	2
95	38	1
96	39	1
97	39	0
98	40	0
99	40	0
