iter	Passed	Remaining
0	61	61853
1	62	31248
2	63	21145
3	63	15934
4	64	12806
5	64	10743
6	65	9256
7	65	8159
8	66	7289
9	66	6626
10	67	6080
11	68	5629
12	68	5232
13	69	4904
14	70	4625
15	71	4376
16	71	4142
17	72	3940
18	73	3774
19	73	3623
20	74	3479
21	75	3347
22	75	3214
23	76	3108
24	77	3006
25	77	2907
26	78	2824
27	78	2732
28	79	2656
29	80	2591
30	80	2527
31	81	2465
32	83	2433
33	83	2378
34	84	2321
35	84	2268
36	85	2220
37	85	2174
38	86	2125
39	86	2078
40	87	2043
41	87	2003
42	88	1966
43	88	1929
44	89	1893
45	89	1860
46	90	1826
47	90	1798
48	91	1773
49	91	1742
50	92	1717
51	92	1689
52	93	1664
53	93	1639
54	94	1620
55	94	1596
56	95	1574
57	95	1552
58	95	1530
59	96	1510
60	96	1491
61	97	1472
62	97	1451
63	98	1437
64	98	1419
65	98	1400
66	99	1386
67	100	1373
68	100	1357
69	101	1344
70	101	1330
71	102	1321
72	102	1306
73	103	1291
74	103	1278
75	104	1265
76	104	1255
77	106	1253
78	106	1242
79	107	1230
80	107	1220
81	108	1210
82	108	1197
83	108	1187
84	109	1176
85	109	1165
86	110	1154
87	110	1145
88	110	1134
89	111	1132
90	112	1122
91	112	1114
92	113	1103
93	113	1095
94	114	1086
95	114	1078
96	115	1071
97	115	1062
98	115	1054
99	116	1046
100	116	1039
101	117	1031
102	117	1024
103	117	1016
104	118	1008
105	119	1006
106	119	999
107	120	991
108	120	985
109	120	978
110	121	971
111	121	964
112	121	957
113	122	950
114	122	943
115	122	936
116	123	928
117	123	922
118	123	915
119	123	909
120	124	902
121	124	895
122	124	889
123	125	883
124	125	878
125	125	872
126	126	866
127	126	861
128	126	857
129	127	852
130	127	848
131	128	843
132	129	841
133	129	836
134	129	831
135	130	826
136	130	821
137	130	816
138	130	811
139	131	806
140	131	801
141	131	795
142	131	790
143	132	785
144	132	781
145	132	776
146	133	772
147	133	767
148	133	763
149	133	758
150	134	754
151	134	751
152	135	748
153	135	744
154	135	740
155	136	736
156	136	732
157	136	729
158	137	728
159	138	725
160	138	723
161	139	720
162	139	718
163	140	716
164	141	713
165	141	710
166	141	708
167	142	704
168	142	702
169	143	699
170	143	697
171	144	694
172	144	691
173	145	688
174	145	686
175	145	683
176	146	680
177	146	678
178	147	676
179	147	673
180	148	670
181	148	668
182	149	666
183	149	665
184	150	662
185	150	660
186	151	658
187	151	655
188	152	652
189	152	649
190	152	646
191	152	643
192	153	640
193	153	637
194	153	635
195	154	633
196	154	630
197	155	628
198	155	626
199	156	624
200	156	622
201	157	621
202	157	619
203	158	616
204	158	614
205	158	612
206	159	610
207	159	608
208	160	606
209	160	604
210	161	602
211	161	600
212	162	599
213	162	596
214	162	594
215	163	592
216	163	590
217	163	587
218	164	585
219	164	583
220	164	580
221	165	578
222	165	576
223	165	573
224	166	571
225	166	570
226	167	569
227	167	567
228	167	565
229	168	563
230	168	561
231	169	560
232	169	558
233	169	556
234	170	554
235	170	552
236	171	550
237	171	549
238	172	548
239	172	546
240	173	545
241	173	543
242	173	541
243	174	539
244	174	538
245	175	536
246	175	535
247	176	535
248	177	534
249	177	532
250	177	530
251	178	529
252	178	528
253	179	527
254	180	526
255	180	524
256	180	522
257	181	521
258	181	520
259	182	518
260	182	517
261	183	516
262	183	514
263	184	512
264	184	511
265	184	510
266	185	508
267	185	506
268	186	505
269	186	504
270	186	502
271	187	501
272	187	500
273	188	499
274	188	497
275	189	496
276	189	495
277	190	493
278	190	492
279	191	491
280	191	489
281	191	488
282	192	487
283	192	485
284	193	484
285	193	483
286	194	482
287	194	480
288	194	479
289	195	478
290	196	478
291	196	477
292	197	475
293	197	474
294	197	473
295	198	471
296	198	470
297	199	469
298	199	467
299	200	466
300	200	465
301	201	464
302	201	463
303	201	462
304	202	461
305	202	459
306	203	458
307	203	457
308	204	456
309	204	454
310	204	453
311	205	452
312	205	451
313	206	450
314	206	449
315	207	448
316	207	446
317	207	445
318	208	444
319	209	444
320	209	442
321	209	441
322	210	440
323	210	439
324	211	438
325	211	437
326	211	436
327	212	435
328	212	434
329	213	433
330	213	431
331	214	430
332	214	430
333	215	428
334	215	427
335	215	426
336	216	425
337	216	424
338	217	423
339	217	421
340	217	420
341	217	419
342	218	418
343	218	417
344	219	416
345	219	415
346	220	414
347	220	413
348	221	412
349	221	411
350	221	409
351	222	408
352	222	407
353	223	406
354	223	406
355	223	405
356	224	404
357	224	403
358	225	402
359	225	401
360	226	400
361	226	399
362	227	399
363	227	398
364	228	397
365	228	396
366	229	395
367	229	394
368	230	393
369	230	392
370	231	391
371	231	390
372	231	389
373	232	388
374	232	387
375	232	386
376	233	385
377	233	384
378	234	383
379	234	382
380	234	381
381	235	380
382	235	379
383	236	378
384	236	377
385	236	376
386	237	375
387	237	374
388	238	374
389	238	373
390	239	372
391	239	371
392	240	370
393	240	369
394	241	369
395	241	368
396	241	367
397	242	366
398	242	365
399	243	364
400	243	363
401	243	362
402	244	361
403	244	361
404	245	360
405	245	359
406	246	358
407	246	357
408	247	357
409	247	356
410	247	355
411	248	354
412	248	353
413	249	352
414	249	352
415	250	351
416	251	351
417	251	350
418	252	349
419	252	349
420	253	348
421	253	347
422	253	346
423	254	345
424	254	344
425	255	343
426	255	342
427	255	341
428	256	340
429	256	340
430	257	339
431	257	338
432	258	337
433	258	336
434	258	336
435	259	335
436	259	334
437	260	333
438	260	332
439	260	332
440	261	331
441	261	330
442	262	329
443	262	329
444	263	328
445	263	327
446	264	326
447	264	326
448	265	325
449	265	324
450	266	323
451	266	323
452	266	322
453	267	321
454	267	320
455	268	320
456	268	319
457	269	318
458	269	317
459	270	317
460	270	316
461	271	315
462	271	314
463	271	314
464	272	313
465	272	312
466	273	311
467	273	311
468	274	310
469	274	309
470	275	309
471	275	308
472	275	307
473	276	306
474	276	306
475	277	305
476	277	304
477	278	303
478	278	303
479	279	302
480	279	301
481	280	300
482	280	300
483	280	299
484	281	298
485	281	297
486	281	297
487	282	296
488	282	295
489	283	294
490	283	294
491	284	293
492	284	292
493	284	291
494	285	290
495	285	290
496	285	289
497	286	288
498	286	288
499	287	287
500	287	286
501	288	285
502	288	285
503	289	284
504	289	283
505	289	283
506	290	282
507	291	281
508	291	281
509	291	280
510	292	279
511	292	279
512	293	278
513	293	277
514	294	277
515	294	276
516	295	275
517	295	275
518	296	274
519	296	273
520	297	273
521	297	272
522	298	272
523	298	271
524	299	270
525	299	269
526	300	269
527	300	268
528	300	267
529	301	267
530	301	266
531	302	265
532	302	265
533	302	264
534	303	263
535	303	263
536	304	262
537	304	261
538	305	260
539	305	260
540	306	259
541	306	259
542	307	258
543	307	257
544	308	257
545	308	256
546	308	255
547	309	255
548	309	254
549	310	253
550	310	252
551	310	252
552	311	251
553	311	250
554	311	250
555	312	249
556	312	248
557	313	248
558	313	247
559	314	246
560	314	246
561	315	245
562	315	244
563	315	244
564	316	243
565	316	242
566	316	242
567	317	241
568	317	240
569	318	239
570	318	239
571	319	238
572	319	238
573	319	237
574	320	236
575	320	236
576	320	235
577	321	234
578	321	234
579	322	233
580	322	232
581	323	232
582	323	231
583	324	231
584	325	230
585	325	229
586	325	229
587	326	228
588	326	227
589	326	227
590	327	226
591	327	225
592	328	225
593	328	224
594	328	223
595	329	223
596	329	222
597	330	222
598	330	221
599	331	220
600	331	220
601	331	219
602	332	218
603	332	218
604	333	217
605	333	216
606	334	216
607	334	215
608	334	215
609	335	214
610	335	213
611	336	213
612	336	212
613	337	212
614	337	211
615	338	210
616	338	210
617	339	209
618	339	209
619	340	208
620	341	208
621	341	207
622	341	206
623	342	206
624	342	205
625	343	204
626	343	204
627	343	203
628	344	203
629	344	202
630	345	201
631	345	201
632	346	200
633	346	199
634	346	199
635	347	198
636	347	198
637	347	197
638	348	196
639	349	196
640	349	195
641	350	195
642	350	194
643	350	193
644	351	193
645	351	192
646	352	192
647	352	191
648	353	191
649	353	190
650	354	189
651	354	189
652	354	188
653	355	187
654	355	187
655	355	186
656	356	186
657	356	185
658	357	184
659	357	184
660	358	183
661	359	183
662	359	182
663	359	182
664	360	181
665	360	180
666	361	180
667	361	179
668	362	179
669	362	178
670	363	178
671	363	177
672	363	176
673	364	176
674	364	175
675	365	174
676	365	174
677	365	173
678	366	173
679	366	172
680	367	172
681	367	171
682	368	171
683	369	170
684	369	169
685	369	169
686	370	168
687	370	168
688	370	167
689	371	166
690	371	166
691	371	165
692	372	164
693	372	164
694	373	163
695	373	163
696	374	162
697	374	162
698	374	161
699	375	160
700	375	160
701	376	159
702	376	159
703	376	158
704	377	157
705	377	157
706	378	156
707	379	156
708	379	155
709	379	155
710	380	154
711	380	154
712	381	153
713	381	152
714	382	152
715	382	151
716	383	151
717	383	150
718	383	150
719	384	149
720	384	148
721	385	148
722	385	147
723	385	146
724	385	146
725	386	145
726	386	145
727	387	144
728	387	144
729	388	143
730	388	142
731	388	142
732	389	141
733	389	141
734	390	140
735	390	140
736	391	139
737	391	139
738	391	138
739	392	137
740	392	137
741	393	136
742	393	136
743	393	135
744	394	134
745	394	134
746	395	133
747	395	133
748	395	132
749	396	132
750	396	131
751	397	131
752	397	130
753	398	129
754	398	129
755	398	128
756	399	128
757	399	127
758	399	126
759	400	126
760	400	125
761	400	125
762	401	124
763	401	124
764	402	123
765	402	122
766	402	122
767	403	121
768	403	121
769	404	120
770	404	120
771	404	119
772	405	118
773	405	118
774	406	117
775	406	117
776	406	116
777	407	116
778	407	115
779	407	115
780	408	114
781	408	113
782	409	113
783	409	112
784	409	112
785	410	111
786	410	111
787	411	110
788	411	110
789	411	109
790	412	108
791	412	108
792	413	107
793	413	107
794	414	106
795	414	106
796	415	105
797	415	105
798	415	104
799	416	104
800	416	103
801	417	103
802	417	102
803	418	101
804	418	101
805	418	100
806	419	100
807	419	99
808	419	99
809	420	98
810	420	98
811	421	97
812	421	96
813	422	96
814	422	95
815	423	95
816	423	94
817	423	94
818	424	93
819	424	93
820	425	92
821	425	92
822	426	91
823	426	91
824	426	90
825	427	89
826	427	89
827	428	88
828	428	88
829	428	87
830	429	87
831	429	86
832	430	86
833	431	85
834	431	85
835	432	84
836	432	84
837	433	83
838	433	83
839	433	82
840	434	82
841	434	81
842	435	81
843	435	80
844	435	79
845	436	79
846	436	78
847	437	78
848	437	77
849	437	77
850	438	76
851	438	76
852	439	75
853	439	75
854	440	74
855	440	74
856	440	73
857	441	73
858	441	72
859	442	71
860	442	71
861	443	70
862	443	70
863	444	69
864	444	69
865	444	68
866	445	68
867	445	67
868	446	67
869	446	66
870	446	66
871	447	65
872	447	65
873	448	64
874	448	64
875	449	63
876	450	63
877	450	62
878	451	62
879	451	61
880	451	61
881	452	60
882	452	59
883	453	59
884	453	58
885	454	58
886	454	57
887	454	57
888	455	56
889	455	56
890	456	55
891	456	55
892	457	54
893	457	54
894	458	53
895	458	53
896	458	52
897	459	52
898	459	51
899	459	51
900	460	50
901	460	50
902	461	49
903	461	48
904	461	48
905	462	47
906	462	47
907	463	46
908	463	46
909	464	45
910	464	45
911	465	44
912	465	44
913	466	43
914	466	43
915	466	42
916	467	42
917	467	41
918	468	41
919	469	40
920	469	40
921	470	39
922	470	39
923	471	38
924	471	38
925	472	37
926	472	37
927	472	36
928	473	36
929	473	35
930	474	35
931	474	34
932	475	34
933	475	33
934	475	33
935	476	32
936	476	32
937	477	31
938	477	31
939	478	30
940	478	30
941	479	29
942	479	28
943	480	28
944	480	27
945	481	27
946	482	26
947	482	26
948	482	25
949	483	25
950	483	24
951	484	24
952	484	23
953	485	23
954	485	22
955	486	22
956	486	21
957	486	21
958	487	20
959	488	20
960	488	19
961	488	19
962	489	18
963	489	18
964	489	17
965	490	17
966	490	16
967	490	16
968	491	15
969	491	15
970	492	14
971	492	14
972	492	13
973	493	13
974	493	12
975	494	12
976	494	11
977	495	11
978	495	10
979	496	10
980	496	9
981	497	9
982	497	8
983	498	8
984	498	7
985	498	7
986	499	6
987	500	6
988	500	5
989	500	5
990	501	4
991	501	4
992	502	3
993	502	3
994	503	2
995	503	2
996	504	1
997	504	1
998	505	0
999	505	0
